[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S10_click_calculatePaymentsButton,S8c3_submit_submitButton,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action,action,test1,anyString
