[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S8c3_submit_submitButton,S11_click_calculatePaymentsButton,S6_select_schedulingTypeSelect_index_1,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidPaymentFutureDate,action,action,IMMEDIATELY,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,02/02/2012,action,action,IMMEDIATELY,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidPaymentPastDate,action,action,IMMEDIATELY,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentFutureDate,action,action,IMMEDIATELY,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,02/02/2012,action,action,IMMEDIATELY,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentPastDate,action,action,IMMEDIATELY,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidPaymentFutureDate,action,action,IMMEDIATELY,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,02/02/2012,action,action,IMMEDIATELY,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidPaymentPastDate,action,action,IMMEDIATELY,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidPaymentFutureDate,action,action,IMMEDIATELY,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,02/02/2012,action,action,IMMEDIATELY,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidPaymentPastDate,action,action,IMMEDIATELY,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidPaymentFutureDate,action,action,IMMEDIATELY,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidPaymentFutureDate,action,action,IMMEDIATELY,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
