[coverage strength]
6
""
S7_type_paymentCount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_1,S11_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,IMMEDIATELY,action,MULTIPLE_FUTURE,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
