[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S14_type_description,S8c3_submit_submitButton,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,anyString,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
