[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S1_wait_input,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S10_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description,S8c3_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,action,IMMEDIATELY,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString,action
