[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
